CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source,Geocoded_Location
101000809914,03/24/2013 09:58:00 AM,03/25/2013 09:07:00 AM,Closed,Case Closed Case Resolved done ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx,248-254 Brighton Ave  Allston  MA  02134,11,4,9,D14,Allston / Brighton,15,Ward 21,2106,C,248-254 Brighton Ave,02134,42.35325,-71.13665,Citizens Connect App,"(42.35325, -71.13665)"
101000809277,03/22/2013 11:32:00 AM,03/22/2013 11:32:00 AM,Closed,Case Closed ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1A: Charlestown,PWDx,INTERSECTION of Sixteenth St & Fifth St  Charlestown  MA  ,3,1A,1,A15,Charlestown,2,Ward 2,202,,INTERSECTION Sixteenth St & Fifth St,,42.35327,-71.14253,City Worker App,"(42.35327, -71.14253)"
101000808849,03/21/2013 05:11:00 PM,03/22/2013 11:01:00 AM,Closed,Case Closed Case Referred to External Agency Tobin Bridge is under the jurisdiction of MassDOT.  We forwarded the report to them.  Thanks. ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,INFO_Mayor Hotline Admin,INFO,INTERSECTION of Medford St & Mystic River Brg  Charlestown  MA  ,3,1A,1,A15,Charlestown,2,Ward 2,202,,INTERSECTION Medford St & Mystic River Brg,,42.353458,-71.062933,Citizens Connect App,"(42.353458, -71.062933)"
101000808547,03/21/2013 11:35:00 AM,03/21/2013 11:35:00 AM,Closed,Case Closed ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1A: Charlestown,PWDx,INTERSECTION of Main St & SULLIVAN Sq  Charlestown  MA  ,3,1A,1,A15,Charlestown,2,Ward 2,207,,INTERSECTION Main St & SULLIVAN Sq,,42.353458,-71.062852,City Worker App,"(42.353458, -71.062852)"
101000812862,03/28/2013 11:17:00 AM,03/28/2013 11:17:00 AM,Closed,Case Closed Internal Case Performed by Highway Maintenance crew. ,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,INTERSECTION of London St & George R. Visconti Rd  East Boston  MA  ,1,9,1,A7,East Boston,1,Ward 1,106,,INTERSECTION London St & George R. Visconti Rd,,42.353458,-71.062852,Employee Generated,"(42.353458, -71.062852)"
101000803669,03/14/2013 08:57:00 AM,03/14/2013 08:57:00 AM,Closed,Case Closed Internal Case Performed by Highway Maintenance crew. ,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,INTERSECTION of London St & George R. Visconti Rd  East Boston  MA  ,1,9,1,A7,East Boston,1,Ward 1,106,,INTERSECTION London St & George R. Visconti Rd,,42.353458,-71.062852,Employee Generated,"(42.353458, -71.062852)"
101000807641,03/20/2013 10:18:00 AM,03/21/2013 03:26:00 PM,Closed,Case Closed Case Resolved filled multiple potholes in roadway ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1C: Downtown,PWDx,3 Avery St  Boston  MA  02111,3,1C,2,A1,Downtown / Financial District,4,Ward 3,308,CM,3 Avery St,02111,42.353458,-71.062933,Citizens Connect App,"(42.353458, -71.062933)"
101000805032,03/15/2013 02:07:00 PM,03/21/2013 10:24:00 AM,Closed,Case Closed Case Resolved COMPLETED 3/21/13 ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1B: North End,PWDx,INTERSECTION of Louisburg Sq & Willow St  Boston  MA  ,3,1B,8,A1,Beacon Hill,14,Ward 5,503,,INTERSECTION Louisburg Sq & Willow St,,42.353458,-71.062852,Citizens Connect App,"(42.353458, -71.062852)"
101000804853,03/15/2013 10:49:00 AM,03/21/2013 11:41:00 AM,Closed,Case Closed Case Resolved filled in multiple potholes in this intersection ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1A: Charlestown,PWDx,INTERSECTION of Main St & Mishawum St  Charlestown  MA  ,3,1A,1,A15,Charlestown,2,Ward 2,207,,INTERSECTION Main St & Mishawum St,,42.353458,-71.062852,Constituent Call,"(42.353458, -71.062852)"
101000809119,03/22/2013 09:26:00 AM,03/22/2013 11:39:00 AM,Closed,Case Closed Case Resolved Filled in pothole around sewer casting ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1A: Charlestown,PWDx,INTERSECTION of Mead St & Russell St  Charlestown  MA  ,3,1A,1,A15,Charlestown,2,Ward 2,206,,INTERSECTION Mead St & Russell St,,42.353458,-71.062933,Self Service,"(42.353458, -71.062933)"
101000804720,03/15/2013 09:07:00 AM,03/15/2013 09:07:00 AM,Closed,Case Closed Internal Case Performed by Highway Maintenance crew. ,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,INTERSECTION of London St & George R. Visconti Rd  East Boston  MA  ,1,9,1,A7,East Boston,1,Ward 1,106,,INTERSECTION London St & George R. Visconti Rd,,42.353458,-71.062852,Employee Generated,"(42.353458, -71.062852)"
101000814482,04/01/2013 09:46:00 AM,04/03/2013 10:59:00 AM,Closed,Case Closed Case Resolved ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx,INTERSECTION of Mead St & Raymond St  Allston  MA  ,11,4,9,D14,Allston / Brighton,15,Ward 22,2202,,INTERSECTION Mead St & Raymond St,,42.353458,-71.062933,Constituent Call,"(42.353458, -71.062933)"
101000806082,03/18/2013 10:56:00 AM,03/20/2013 03:20:00 PM,Closed,Case Closed Case Resolved pothole filled ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1A: Charlestown,PWDx,INTERSECTION of Main St & Mishawum St  Charlestown  MA  ,3,1A,1,A15,Charlestown,2,Ward 2,207,,INTERSECTION Main St & Mishawum St,,42.353458,-71.062852,Constituent Call,"(42.353458, -71.062852)"
